vendorId,productId,Product Owner,Vendor Title,Warehouse Availability,Product Category,Product Title,Inventory,Re-Order_Point,Quantity to Send (15 working days),State,#Shipment in Progress,Warehouse Name,City
0,0,Retail,فروشگاه سایپا یدک دیزجی (منطقه 15-مسعودیه),-,0,جلو پنجره پراید نقره ایی,0.0,0.0,0.0,🟥Supply Needed,-,-,0
0,0,Retail,خدمات خودرویی فرتاک سبز( کرج- ملارد),-,0,تسمه دینام تاپ گیر سایز 4PK885TG پراید,0.0,0.0,0.0,🟥Supply Needed,-,-,0
7922105a-5e76-4c48-972a-0a23082c4962,8737330b-bd43-457d-a9ce-f7a655a8b4d4,Retail,خدمات اتومبیل سلیمانی (پرند - فاز 3),0.0,Regular & Fairly Stable,بهران تکتاز (SG 20W50) 4 لیتری فلزی,0.0,1.0,0.0,🟥Supply Needed,-,مرکز عملیات-کهریزک,تهران
d10a21b8-dd69-4771-8d9d-7f8095ae5840,75bc7980-96b1-4787-926b-6d5be1c4486b,Retail,تعویض روغن احمدی نیا(اهواز-بلوار گلستان),0.0,Regular & Fairly Stable,پاور اسپیدی (SJ 20w50) 4 لیتری پلاستیکی,0.0,1.0,0.0,🟥Supply Needed,-,مرکز عملیات-اصفهان,اهواز
270922f3-a4ac-4faa-ac1d-b5e96b55bb80,1de1066c-594e-432d-a4a8-7e54fb344904,Retail,اتوسرویس پورحسن (تهران - رباط کریم),0.0,Bestseller,ایرانول 16000 (SL 20W50) 4 لیتری فلزی,0.0,1.0,0.0,🟥Supply Needed,-,مرکز عملیات-کهریزک,تهران
0,0,Retail,باتری بابوسی (مشهد - شاهد),-,0,باتری 66 آمپر صبا باتری(12 ماه گارانتی),0.0,0.0,0.0,🟥Supply Needed,-,-,0
f0e6dcf8-7060-4489-8cb1-60a4e39eb668,31f620fb-7cb6-4c0e-a233-0515e6e83290,Retail,اتوسرویس کاظمی (منطقه19 - خانی آباد نو),438.0,Bestseller,پاور پلاس اسپیدی (SJ 10W40) 4 لیتری پلاستیکی,0.0,0.0,0.0,🟥Supply Needed,12.0,مرکز عملیات-کهریزک,تهران
ff35f2f1-17b2-4e8e-9cf7-3798b069e963,0ec32f69-3778-4a9c-9752-674637ce9b9b,Retail,تعویض روغنی لارستان (شیراز - بلوار استقلال),12.0,Bestseller,بهران پیشتاز (SJ 10W40) 3.5 لیتری پلاستیکی,0.0,1.0,0.0,🟥Supply Needed,-,مرکز عملیات-اصفهان,شیراز
3b739759-c37a-495c-ad8b-19bb7a2af1ad,798ca945-54af-4bf9-9179-084d8d06d368,Retail,تعویض روغنی سپاهان (اصفهان - میدان لاله),18.0,Bestseller,بهران رانا (SM 10W40) 4 لیتری پلاستیکی,0.0,1.0,0.0,🟥Supply Needed,-,مرکز عملیات-اصفهان,اصفهان
0,0,Retail,اتوسرویس شیبانی (ورامین - پیشوا),-,0,فیلتر هوا امان پژو 206 SD کوتاه کد AFA4007,0.0,0.0,0.0,🟥Supply Needed,-,-,0
0,0,Retail,تعویض روغنی پروفسور (مشهد - خیابان خلج),-,0,فیلتر روغن لوکومبیل پراید تیبا شاهین اطلس,0.0,0.0,0.0,🟥Supply Needed,-,-,0
b38691e0-08a8-4f4b-ba02-1a14c793213e,4a468e39-164b-4f48-bee5-03db68fd055d,Retail,اتوسرویس سام(اصفهان-بین جهاد و آتش),0.0,Bestseller,فلومکس مگاتک اکو (SL 10W40) 4 لیتری فلزی,0.0,0.0,0.0,🟥Supply Needed,-,مرکز عملیات-اصفهان,اصفهان
c242e582-921d-4a75-a8e1-9fa10d816a10,f8d061e7-373a-4637-805d-1f437b0d409f,Retail,اتوسرویس امین تایر (منطقه 2 - ستارخان),0.0,Bestseller,پارس ارس(SG 20W50) 3.785 لیتری فلزی,0.0,0.0,0.0,🟥Supply Needed,-,مرکز عملیات-کهریزک,تهران
80c73d59-0c8f-4e39-918f-4f46143e6288,ffad81de-aae5-47b4-bb35-1d1ea791f892,Retail,اتو سرویس آریا (منطقه 5 - سیمون بولیوار),0.0,Bestseller,ایرانول 12000 مکس (SJ 20W50 ) 4 لیتری فلزی,0.0,3.0,0.0,🟥Supply Needed,-,مرکز عملیات-کهریزک,تهران
